genuine_tweet,orphan,tweet_time,follower_local,is_follower,has_mention,favorite_count,original_is_question,rt_count,resonance_Factor,reply_is_answer,hours_to_answer,tweet_weekday,auto_tweet,id_str,has_media,screen_name,created_at,has_url,is_reply,has_hashtag,tweet_month
1,NA,13,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,453163981939941376,0,bsb_muenchen,Mon Apr 07 13:34:47 +0000 2014,1,0,0,4
1,NA,13,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,453163585892802560,0,bsb_muenchen,Mon Apr 07 13:33:12 +0000 2014,1,0,0,4
1,NA,12,NA,NA,0,0,NA,0,0.0,NA,NA,2,0,450976029386211328,0,bsb_muenchen,Tue Apr 01 12:40:38 +0000 2014,1,0,0,4
1,NA,11,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,450602597398085632,0,bsb_muenchen,Mon Mar 31 11:56:45 +0000 2014,1,0,0,3
1,NA,09,NA,NA,0,1,NA,1,1.5,NA,NA,1,0,450559225128058880,0,bsb_muenchen,Mon Mar 31 09:04:24 +0000 2014,1,0,0,3
1,NA,16,NA,NA,0,2,NA,1,2.0,NA,NA,3,0,448866583939911680,0,bsb_muenchen,Wed Mar 26 16:58:27 +0000 2014,1,0,0,3
0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,448845089578962945,NA,bsb_muenchen,Wed Mar 26 15:33:03 +0000 2014,NA,0,NA,3
1,NA,07,NA,NA,0,0,NA,2,2.0,NA,NA,3,0,448718458109558785,0,bsb_muenchen,Wed Mar 26 07:09:51 +0000 2014,1,0,0,3
1,NA,13,NA,NA,1,1,NA,1,1.5,NA,NA,2,0,448453340616462336,0,bsb_muenchen,Tue Mar 25 13:36:22 +0000 2014,1,0,0,3
0,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,448425529780498432,NA,bsb_muenchen,Tue Mar 25 11:45:52 +0000 2014,NA,0,NA,3
1,NA,06,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,447986617152962560,0,bsb_muenchen,Mon Mar 24 06:41:47 +0000 2014,0,0,0,3
1,NA,14,NA,NA,0,0,NA,0,0.0,NA,NA,3,0,446298903911354368,0,bsb_muenchen,Wed Mar 19 14:55:25 +0000 2014,1,0,0,3
1,NA,07,NA,NA,0,0,NA,0,0.0,NA,NA,2,0,445821078221631488,0,bsb_muenchen,Tue Mar 18 07:16:42 +0000 2014,1,0,0,3
0,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,445532152307130368,NA,bsb_muenchen,Mon Mar 17 12:08:37 +0000 2014,NA,0,NA,3
0,NA,08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,445482595401203713,NA,bsb_muenchen,Mon Mar 17 08:51:42 +0000 2014,NA,0,NA,3
1,0,08,0,professional,1,0,0,0,0.0,0,0.8,1,0,445482427944038400,0,bsb_muenchen,Mon Mar 17 08:51:02 +0000 2014,0,1,0,3
1,NA,08,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,445482225283641345,0,bsb_muenchen,Mon Mar 17 08:50:13 +0000 2014,1,0,0,3
0,NA,06,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,444366976300089344,NA,bsb_muenchen,Fri Mar 14 06:58:37 +0000 2014,NA,0,NA,3
1,NA,06,NA,NA,0,0,NA,1,1.0,NA,NA,5,0,444366036142673920,0,bsb_muenchen,Fri Mar 14 06:54:53 +0000 2014,1,0,0,3
1,NA,13,NA,NA,0,2,NA,0,1.0,NA,NA,3,0,443741220352032768,0,bsb_muenchen,Wed Mar 12 13:32:05 +0000 2014,1,0,0,3
1,NA,11,NA,NA,0,0,NA,0,0.0,NA,NA,3,0,443714702561267712,0,bsb_muenchen,Wed Mar 12 11:46:43 +0000 2014,1,0,0,3
1,NA,11,NA,NA,0,1,NA,0,0.5,NA,NA,3,0,443713936257720320,0,bsb_muenchen,Wed Mar 12 11:43:40 +0000 2014,1,0,0,3
1,NA,09,NA,NA,0,0,NA,0,0.0,NA,NA,2,0,443322544649932800,0,bsb_muenchen,Tue Mar 11 09:48:25 +0000 2014,1,0,0,3
1,NA,10,NA,NA,0,0,NA,0,0.0,NA,NA,5,0,441879306101587968,0,bsb_muenchen,Fri Mar 07 10:13:30 +0000 2014,1,0,0,3
0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,441241225103159296,NA,bsb_muenchen,Wed Mar 05 15:58:00 +0000 2014,NA,0,NA,3
0,NA,09,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,441150618733146112,NA,bsb_muenchen,Wed Mar 05 09:57:58 +0000 2014,NA,0,NA,3
1,NA,11,NA,NA,0,0,NA,1,1.0,NA,NA,1,0,440452939908268032,0,bsb_muenchen,Mon Mar 03 11:45:38 +0000 2014,1,0,0,3
1,NA,07,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,440393138884976640,0,bsb_muenchen,Mon Mar 03 07:48:01 +0000 2014,1,0,0,3
1,NA,07,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,440391665509863425,0,bsb_muenchen,Mon Mar 03 07:42:09 +0000 2014,0,0,0,3
1,NA,12,NA,NA,0,0,NA,0,0.0,NA,NA,5,0,439383871835373568,0,bsb_muenchen,Fri Feb 28 12:57:33 +0000 2014,1,0,0,2
1,0,09,0,0,1,0,0,0,0.0,1,0.8,2,0,438250699491934208,0,bsb_muenchen,Tue Feb 25 09:54:43 +0000 2014,0,1,0,2
1,NA,09,NA,NA,0,0,NA,1,1.0,NA,NA,2,0,438249363169882113,0,bsb_muenchen,Tue Feb 25 09:49:25 +0000 2014,1,0,0,2
1,NA,12,NA,NA,0,0,NA,1,1.0,NA,NA,1,0,437931142591692801,0,bsb_muenchen,Mon Feb 24 12:44:55 +0000 2014,0,0,0,2
1,NA,11,NA,NA,0,0,NA,0,0.0,NA,NA,5,0,436829769146310657,0,bsb_muenchen,Fri Feb 21 11:48:27 +0000 2014,1,0,0,2
1,NA,07,NA,NA,0,1,NA,4,4.5,NA,NA,4,0,436404791737339904,0,bsb_muenchen,Thu Feb 20 07:39:45 +0000 2014,1,0,1,2
1,NA,08,NA,NA,0,1,NA,0,0.5,NA,NA,3,0,436051723082141696,0,bsb_muenchen,Wed Feb 19 08:16:46 +0000 2014,1,0,0,2
1,0,08,0,professional,1,0,1,0,0.0,1,41.1,3,0,436051502226890753,0,bsb_muenchen,Wed Feb 19 08:15:54 +0000 2014,0,1,1,2
1,NA,14,NA,NA,0,0,NA,0,0.0,NA,NA,4,0,433965232134709249,1,bsb_muenchen,Thu Feb 13 14:05:48 +0000 2014,0,0,0,2
1,NA,15,NA,NA,0,0,NA,2,2.0,NA,NA,3,0,433628874191024129,0,bsb_muenchen,Wed Feb 12 15:49:14 +0000 2014,1,0,0,2
1,NA,10,NA,NA,0,0,NA,0,0.0,NA,NA,1,0,432825181665390592,0,bsb_muenchen,Mon Feb 10 10:35:39 +0000 2014,1,0,0,2
1,0,06,0,0,1,1,0,0,0.5,1,84.4,1,0,432767603077951488,0,bsb_muenchen,Mon Feb 10 06:46:51 +0000 2014,0,1,0,2
1,NA,10,NA,NA,0,1,NA,1,1.5,NA,NA,4,0,431373782075187200,0,bsb_muenchen,Thu Feb 06 10:28:18 +0000 2014,1,0,0,2
1,NA,08,NA,NA,0,1,NA,0,0.5,NA,NA,3,0,430984567042760705,0,bsb_muenchen,Wed Feb 05 08:41:42 +0000 2014,1,0,0,2
1,NA,15,NA,NA,0,0,NA,0,0.0,NA,NA,2,0,430718710488129536,0,bsb_muenchen,Tue Feb 04 15:05:17 +0000 2014,1,0,0,2
1,NA,14,NA,NA,0,0,NA,1,1.0,NA,NA,1,0,430342054615322624,0,bsb_muenchen,Mon Feb 03 14:08:35 +0000 2014,1,0,0,2
1,NA,08,NA,NA,0,0,NA,0,0.0,NA,NA,2,0,428083041391489024,0,bsb_muenchen,Tue Jan 28 08:32:05 +0000 2014,0,0,0,1
0,NA,06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,428057251874869248,NA,bsb_muenchen,Tue Jan 28 06:49:36 +0000 2014,NA,0,NA,1
