created_at_sec,avg_RTs,avg_has_entity,tweets_per_year,days,avg_Favs,genuine_tweet_ratio,avg_has_mention,avg_has_url,days_since_last_tweet,followBackCount,friend_without_place,avg_has_hashtag,follower_publisher,XFollowsNotBack,auto_tweet_ratio,follower_varia,friend_library,followers_count,passiveNotFollowRatio,friend_local,location,friend_varia,id_str,friend_without_description,avg_resonanceFactor,statuses_count,friends_count,avg_hours_to_answer,replies_ratio,follower_local,tweets_per_day,screen_name,follower_library,NotFollowXBack,friend_publisher,avg_has_media,follower_librarian,created_at,friend_librarian,follower_without_description,follower_without_place,activeNotFollowRatio,friend_other_place,follower_other_place
1275402338.0,0.04,0.67,635.84,1406,0.02,0.94,0.0,0.66,0,9,1,0.03,25,349,0.45,39,7,358,0.4,2,bielefeld,4,150604211,0,0.06,2448,15,22.58,0.0,31,1.74,stb_bielefeld,37,6,3,0.0,8,Tue Jun 01 10:25:38 +0000 2010,1,49,60,0.97,12,67
1244644279.0,0.12,0.5,50.1,1762,0.06,1.0,0.02,0.49,21,19,5,0.0,124,962,0.87,393,15,981,0.41,8,bremen,9,46082445,2,0.19,242,32,56.5,0.01,299,0.14,stabi_bremen,136,13,2,0.0,30,Wed Jun 10 10:31:19 +0000 2009,4,298,338,0.98,19,344
1282296307.0,0.03,0.27,228.57,1327,0.02,0.79,0.04,0.17,7,35,17,0.1,48,322,0.0,126,21,357,0.55,13,essen,30,180672165,7,0.05,832,77,49.23,0.02,81,0.63,stbessen,49,42,13,0.0,18,Fri Aug 20 05:25:07 +0000 2010,6,116,148,0.9,47,128
1270669767.0,0.22,0.93,2402.25,1461,0.41,0.24,0.56,0.35,0,738,124,0.31,308,1382,0.02,1010,121,2120,0.31,249,köln,356,130538657,64,0.83,9609,1066,14.01,0.5,649,6.58,stbibkoeln,208,327,166,0.06,78,Wed Apr 07 15:49:27 +0000 2010,54,516,668,0.65,388,803
1352406797.0,0.13,0.94,474.47,515,0.09,0.73,0.25,0.82,0,271,314,0.25,144,162,0.2,126,131,433,0.7,33,düsseldorf,367,934766042,68,0.22,669,921,19.95,0.07,25,1.3,stadtbueduedorf,72,646,323,0.04,19,Thu Nov 08 15:33:17 +0000 2012,28,72,164,0.37,570,244
1245179034.0,0.02,0.08,1043.87,1756,0.02,0.61,0.0,0.06,3,36,19,0.01,24,172,0.01,80,32,210,0.73,21,hamburg,33,47645067,7,0.03,5021,131,10.15,0.0,46,2.86,hoeb4u,26,95,50,0.01,8,Tue Jun 16 15:03:54 +0000 2009,9,70,79,0.83,91,83
1374665202.0,0.03,0.83,222.54,258,0.1,0.94,0.11,0.22,0,20,7,0.57,4,31,0.0,11,29,51,0.6,2,witten,12,1617127052,5,0.11,158,50,18.08,0.09,1,0.61,bibliothek_wit,21,30,4,0.13,5,Wed Jul 24 07:26:42 +0000 2013,0,10,19,0.61,41,31
1264174689.0,0.07,0.95,648.69,1536,0.15,0.9,0.32,0.51,0,226,226,0.7,110,441,0.03,192,139,668,0.73,19,krefeld,375,107376250,60,0.19,2731,850,10.84,0.23,81,1.78,mediothek,94,624,238,0.07,34,Fri Jan 22 10:38:09 +0000 2010,38,237,302,0.66,605,284
1234960159.0,0.38,0.88,1313.23,1875,0.47,0.34,0.46,0.28,0,344,140,0.36,130,642,0.0,365,120,988,0.31,80,erlangen,168,21177090,77,1.36,6750,497,4.0,0.37,149,3.6,stabi_erlangen,146,153,93,0.16,52,Wed Feb 18 07:29:19 +0000 2009,39,293,384,0.65,277,453
1251378372.0,0.04,0.03,446.42,1684,0.02,1.0,0.0,0.02,0,183,89,0.0,103,440,0.0,214,56,623,0.54,128,freiburg,160,69244340,117,0.05,2058,394,1.47,0.0,124,1.22,stabifr,97,211,54,0.0,18,Thu Aug 27 09:06:12 +0000 2009,7,191,207,0.71,177,292
1250872962.0,0.04,0.66,496.98,1690,0.03,0.98,0.55,0.45,0,69,17,0.06,49,264,0.51,115,26,333,0.24,24,göttingen,25,67596714,9,0.06,2301,91,67.87,0.04,83,1.36,stabigoe,71,22,17,0.0,22,Fri Aug 21 12:42:42 +0000 2009,14,76,112,0.79,50,138
1257772774.0,0.08,0.55,357.14,1610,0.08,0.53,0.08,0.4,1,353,180,0.32,72,44,0.26,111,151,397,0.4,49,neuss,162,88621648,127,0.14,1575,585,11.46,0.05,42,0.98,stbneuss,80,232,121,0.03,18,Mon Nov 09 08:19:34 +0000 2009,24,116,158,0.11,356,197
1313689433.0,0.06,1.0,387.88,963,0.05,1.0,0.0,0.99,1,102,43,0.0,39,127,0.98,58,79,228,0.47,4,salzgitter,25,357509606,23,0.14,1024,192,5.45,0.0,12,1.06,stbsalzgitter,58,90,29,0.0,19,Thu Aug 18 13:43:53 +0000 2011,36,55,83,0.55,145,134
1242605316.0,0.13,0.77,455.42,1786,0.13,0.56,0.09,0.73,5,16,6,0.02,34,312,0.36,176,12,327,0.43,2,solingen,3,40726549,5,0.22,2227,28,4.23,0.02,25,1.25,stabiso,44,12,5,0.0,10,Sun May 17 20:08:36 +0000 2009,3,64,85,0.95,20,218
1249646668.0,0.11,0.58,240.26,1705,0.08,0.89,0.15,0.3,4,347,175,0.28,123,756,0.03,439,82,1103,0.66,471,chemnitz,486,63668003,307,0.17,1122,1021,18.39,0.08,281,0.66,sbchemnitz,122,674,129,0.01,23,Fri Aug 07 08:04:28 +0000 2009,17,396,410,0.69,375,412
1267455266.0,0.12,0.67,134.15,1498,0.06,0.89,0.06,0.26,5,87,35,0.47,63,358,0.0,122,66,445,0.49,11,gütersloh,30,118645887,34,0.18,550,169,27.85,0.05,61,0.37,stabiguetersloh,92,82,21,0.01,20,Mon Mar 01 09:54:26 +0000 2010,18,148,165,0.8,123,219
1272883453.0,0.06,0.82,213.99,1436,0.03,0.99,0.0,0.82,3,128,43,0.0,65,345,0.99,196,82,471,0.52,79,mannheim,104,139636927,24,0.1,841,265,0,0.0,127,0.59,stabi_mannheim,66,136,36,0.0,17,Mon May 03 06:44:13 +0000 2010,18,129,155,0.73,142,191
1240091233.0,0.05,0.92,84.51,1815,0.07,1.0,0.0,0.82,22,10,4,0.11,54,273,0.81,55,11,283,0.41,2,berlin,3,32955209,1,0.09,420,17,0,0.0,42,0.23,stadtbibliothek,67,7,1,0.0,12,Sat Apr 18 17:47:13 +0000 2009,1,95,112,0.96,11,129
1321904689.0,0.06,0.87,395.8,868,0.06,0.98,0.05,0.75,0,167,196,0.25,92,152,0.72,99,147,320,0.76,8,mönchengladbach,207,417924693,46,0.11,942,703,12.86,0.04,40,1.09,stadtbibmg,59,536,280,0.01,13,Mon Nov 21 14:44:49 +0000 2011,23,56,111,0.48,499,168
