orphan,tweet_time,genuine_tweet,is_follower,has_mention,favorite_count,original_is_question,rt_count,resonance_Factor,reply_is_answer,hours_to_answer,tweet_weekday,auto_tweet,id_str,follower_local,screen_name,created_at,has_url,has_media,is_reply,has_hashtag,tweet_month
NA,16,1,NA,0,0,NA,0,0.0,NA,NA,1,0,453215319365259264,NA,stb_bielefeld,Mon Apr 07 16:58:47 +0000 2014,1,0,0,0,4
NA,16,1,NA,0,0,NA,0,0.0,NA,NA,1,0,453207395465187328,NA,stb_bielefeld,Mon Apr 07 16:27:17 +0000 2014,1,0,0,0,4
NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,453205441049530368,NA,stb_bielefeld,Mon Apr 07 16:19:32 +0000 2014,NA,NA,0,NA,4
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,1,1,453170222821048320,NA,stb_bielefeld,Mon Apr 07 13:59:35 +0000 2014,1,0,0,0,4
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,6,0,452430621504466944,NA,stb_bielefeld,Sat Apr 05 13:00:40 +0000 2014,1,0,0,0,4
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,6,0,452430136991043584,NA,stb_bielefeld,Sat Apr 05 12:58:45 +0000 2014,1,0,0,0,4
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,6,0,452429123445866496,NA,stb_bielefeld,Sat Apr 05 12:54:43 +0000 2014,1,0,0,0,4
NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,452428518757244928,NA,stb_bielefeld,Sat Apr 05 12:52:19 +0000 2014,NA,NA,0,NA,4
NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,452421911440793601,NA,stb_bielefeld,Sat Apr 05 12:26:03 +0000 2014,NA,NA,0,NA,4
NA,11,1,NA,0,1,NA,0,0.5,NA,NA,6,1,452405135214645248,NA,stb_bielefeld,Sat Apr 05 11:19:24 +0000 2014,1,0,0,0,4
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,6,1,452404580383752192,NA,stb_bielefeld,Sat Apr 05 11:17:11 +0000 2014,1,0,0,0,4
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,6,1,452398313644773376,NA,stb_bielefeld,Sat Apr 05 10:52:17 +0000 2014,1,0,0,0,4
NA,15,1,NA,0,0,NA,0,0.0,NA,NA,5,0,452113323241533440,NA,stb_bielefeld,Fri Apr 04 15:59:50 +0000 2014,1,0,0,0,4
NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,452095110826954752,NA,stb_bielefeld,Fri Apr 04 14:47:28 +0000 2014,NA,NA,0,NA,4
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,5,0,452079821460602881,NA,stb_bielefeld,Fri Apr 04 13:46:43 +0000 2014,1,0,0,0,4
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,5,0,452075614594695168,NA,stb_bielefeld,Fri Apr 04 13:30:00 +0000 2014,1,0,0,0,4
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,5,1,452073155784630273,NA,stb_bielefeld,Fri Apr 04 13:20:14 +0000 2014,1,0,0,0,4
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,5,0,452057306742927360,NA,stb_bielefeld,Fri Apr 04 12:17:15 +0000 2014,1,0,0,0,4
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,5,0,452051293658701824,NA,stb_bielefeld,Fri Apr 04 11:53:21 +0000 2014,1,0,0,0,4
NA,06,1,NA,0,2,NA,1,2.0,NA,NA,5,1,451974434178756608,NA,stb_bielefeld,Fri Apr 04 06:47:57 +0000 2014,1,0,0,0,4
NA,06,1,NA,0,0,NA,0,0.0,NA,NA,5,1,451972992814575617,NA,stb_bielefeld,Fri Apr 04 06:42:13 +0000 2014,1,0,0,0,4
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,4,0,451690885508775936,NA,stb_bielefeld,Thu Apr 03 12:01:13 +0000 2014,1,0,0,0,4
NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,451690407307776000,NA,stb_bielefeld,Thu Apr 03 11:59:19 +0000 2014,NA,NA,0,NA,4
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,4,0,451648911288311808,NA,stb_bielefeld,Thu Apr 03 09:14:26 +0000 2014,1,0,0,0,4
NA,09,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,451647896623263744,NA,stb_bielefeld,Thu Apr 03 09:10:24 +0000 2014,NA,NA,0,NA,4
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,3,0,451298453931720704,NA,stb_bielefeld,Wed Apr 02 10:01:50 +0000 2014,1,0,0,0,4
NA,09,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,451297462746361856,NA,stb_bielefeld,Wed Apr 02 09:57:54 +0000 2014,NA,NA,0,NA,4
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,3,1,451288605550739457,NA,stb_bielefeld,Wed Apr 02 09:22:42 +0000 2014,1,0,0,0,4
NA,17,1,NA,0,0,NA,0,0.0,NA,NA,2,0,451047726256754688,NA,stb_bielefeld,Tue Apr 01 17:25:32 +0000 2014,1,0,0,0,4
NA,17,1,NA,0,0,NA,0,0.0,NA,NA,2,0,451046931029307392,NA,stb_bielefeld,Tue Apr 01 17:22:23 +0000 2014,1,0,0,0,4
