created_at_sec,avg_RTs,avg_has_entity,tweets_per_year,days,avg_Favs,genuine_tweet_ratio,avg_has_mention,avg_has_url,days_since_last_tweet,followBackCount,friend_without_place,avg_has_hashtag,follower_publisher,XFollowsNotBack,auto_tweet_ratio,follower_varia,friend_library,followers_count,passiveNotFollowRatio,friend_local,location,friend_varia,id_str,friend_without_description,avg_resonanceFactor,statuses_count,friends_count,avg_hours_to_answer,replies_ratio,follower_local,tweets_per_day,screen_name,follower_library,NotFollowXBack,friend_publisher,avg_has_media,follower_librarian,created_at,friend_librarian,follower_without_description,follower_without_place,activeNotFollowRatio,friend_other_place,follower_other_place
1242324052.0,0.0,0.04,10.2,1789,0.02,1.0,0.0,0.04,931,27,4,0.0,22,137,0.96,59,16,164,0.0,1,oldenburg,4,39998615,2,0.01,50,27,0,0.0,44,0.03,ub_oldenburg,43,0,4,0.0,6,Thu May 14 14:00:52 +0000 2009,1,34,41,0.84,22,79
1253037969.0,0.11,0.68,301.32,1665,0.07,0.97,0.05,0.6,5,81,32,0.25,53,616,0.49,263,62,699,0.51,43,hamburg,41,74455176,20,0.18,1374,166,0,0.01,121,0.83,hsubib,120,85,25,0.0,43,Tue Sep 15 14:06:09 +0000 2009,18,218,273,0.88,91,303
1245243361.0,0.1,0.75,125.36,1755,0.08,0.86,0.09,0.64,4,9,8,0.06,31,479,0.69,186,13,488,0.64,11,berlin,5,47903084,2,0.17,603,25,21.41,0.1,131,0.34,ubhumboldtuni,78,16,5,0.0,26,Wed Jun 17 08:56:01 +0000 2009,0,167,202,0.98,6,155
1339611891.0,0.21,1.0,132.97,663,0.04,1.0,0.0,1.0,4,8,1,0.0,17,261,0.99,99,10,269,0.6,6,karlsruhe,5,607258639,0,0.3,242,20,0,0.0,52,0.37,kitbibliothek,40,12,4,0.0,5,Wed Jun 13 14:24:51 +0000 2012,1,108,136,0.97,13,81
1361912127.0,0.22,1.0,48.65,405,0.17,0.85,0.63,0.52,82,42,20,0.87,13,101,0.0,71,1,143,0.34,34,ulm,41,1222219579,19,0.48,54,64,40.73,0.61,36,0.13,kizuulm,4,22,3,0.0,0,Tue Feb 26 15:55:27 +0000 2013,0,55,68,0.71,10,39
1250850456.0,0.16,0.88,52.48,1691,0.22,0.89,0.21,0.49,3,25,11,0.33,6,156,0.0,46,24,182,0.48,11,göttingen,13,67543866,5,0.36,243,48,22.69,0.17,30,0.14,subugoe,20,23,3,0.3,10,Fri Aug 21 06:27:36 +0000 2009,3,48,67,0.86,26,33
1242765612.0,0.08,0.62,212.47,1784,0.08,0.63,0.11,0.22,5,141,44,0.44,76,927,0.0,374,83,1070,0.35,38,bochum,63,41152402,29,0.16,1039,218,6.99,0.09,159,0.58,ubbochum,155,77,18,0.0,46,Tue May 19 16:40:12 +0000 2009,25,417,466,0.87,136,443
1242399471.0,0.41,0.85,460.0,1788,0.28,0.77,0.33,0.45,0,591,169,0.42,213,3223,0.0,1228,142,3817,0.28,321,dresden,397,40217644,153,1.78,2254,826,5.08,0.22,866,1.26,slubdresden,222,233,95,0.03,75,Fri May 15 10:57:51 +0000 2009,37,1391,1409,0.85,334,854
1234457539.0,0.13,0.77,413.4,1880,0.12,0.89,0.33,0.35,0,401,153,0.18,112,678,0.0,440,189,1079,0.47,156,bremen,290,20671215,111,0.27,2129,755,7.72,0.28,278,1.13,elibbremen,165,354,67,0.06,72,Thu Feb 12 11:52:19 +0000 2009,98,290,342,0.63,446,459
1246367432.0,0.52,0.98,1162.68,1742,0.25,0.31,0.27,0.87,0,183,36,0.19,183,1543,0.0,691,64,1730,0.26,83,hamburg,95,52349626,9,1.17,5546,250,1.38,0.09,476,3.18,stabihh,222,65,52,0.04,80,Tue Jun 30 09:10:32 +0000 2009,28,550,613,0.89,129,637
