orphan,tweet_time,genuine_tweet,is_follower,has_mention,favorite_count,original_is_question,rt_count,resonance_Factor,reply_is_answer,hours_to_answer,tweet_weekday,auto_tweet,id_str,follower_local,screen_name,created_at,has_url,has_media,is_reply,has_hashtag,tweet_month
NA,15,1,NA,0,0,NA,0,0.0,NA,NA,1,1,115804558931922944,NA,ub_oldenburg,Mon Sep 19 15:08:53 +0000 2011,1,0,0,0,9
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,4,1,114312325539966976,NA,ub_oldenburg,Thu Sep 15 12:19:16 +0000 2011,1,0,0,0,9
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,1,1,108096804096180225,NA,ub_oldenburg,Mon Aug 29 08:41:01 +0000 2011,0,0,0,0,8
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,1,91416671704711168,NA,ub_oldenburg,Thu Jul 14 08:00:07 +0000 2011,0,0,0,0,7
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,2,1,75481879444340737,NA,ub_oldenburg,Tue May 31 08:40:57 +0000 2011,0,0,0,0,5
NA,05,1,NA,0,0,NA,0,0.0,NA,NA,5,1,66380075959984128,NA,ub_oldenburg,Fri May 06 05:53:38 +0000 2011,0,0,0,0,5
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,3,1,65702556134940672,NA,ub_oldenburg,Wed May 04 09:01:24 +0000 2011,0,0,0,0,5
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,3,1,65701774492839936,NA,ub_oldenburg,Wed May 04 08:58:18 +0000 2011,0,0,0,0,5
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,1,63525118768459777,NA,ub_oldenburg,Thu Apr 28 08:49:03 +0000 2011,0,0,0,0,4
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,1,53367327500156928,NA,ub_oldenburg,Thu Mar 31 08:05:37 +0000 2011,0,0,0,0,3
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,1,53367326577405952,NA,ub_oldenburg,Thu Mar 31 08:05:36 +0000 2011,0,0,0,0,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,3,1,53103184880734208,NA,ub_oldenburg,Wed Mar 30 14:36:00 +0000 2011,0,0,0,0,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,3,1,53102702657417216,NA,ub_oldenburg,Wed Mar 30 14:34:05 +0000 2011,0,0,0,0,3
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,3,1,53000854025928704,NA,ub_oldenburg,Wed Mar 30 07:49:22 +0000 2011,0,0,0,0,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,1,1,47304562650005505,NA,ub_oldenburg,Mon Mar 14 14:34:21 +0000 2011,0,0,0,0,3
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,5,1,36065830651441152,NA,ub_oldenburg,Fri Feb 11 14:15:38 +0000 2011,0,0,0,0,2
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,1,28404345036865536,NA,ub_oldenburg,Fri Jan 21 10:51:38 +0000 2011,0,0,0,0,1
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,1,28404018464169984,NA,ub_oldenburg,Fri Jan 21 10:50:20 +0000 2011,0,0,0,0,1
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,2,1,1984909358931969,NA,ub_oldenburg,Tue Nov 09 13:10:13 +0000 2010,0,0,0,0,11
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,4,1,26629593495,NA,ub_oldenburg,Thu Oct 07 07:56:33 +0000 2010,0,0,0,0,10
